SYMBOL,ISIN,Security Name,Band,Sector_NSE,Category,MC_Map_Symbol,Sector,Industry,MC_Name,Hyperlink,Exchange
GODREJIND,INE233A01035,Godrej Industries Limited,No Band,CONSUMER GOODS,Derivative Product/Nifty Midcap 50,GODREJIND,Cons Non-Durable,Personal Care,Godrej Ind,http://www.moneycontrol.com/india/stockpricequote/personalcare/godrejindustries/GI23,NSE
GODREJPROP,INE484J01027,Godrej Properties Limited,20,CONSTRUCTION,,GODREJPROP,Retail/Real Estate,Construction & Contracting - Real Estate,Godrej Prop,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/godrejproperties/GP11,NSE
GOKEX,INE887G01027,Gokaldas Exports Limited,20,,,GOKEX,Manufacturing,Textiles - Readymade Apparels,Gokaldas Export,http://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/gokaldasexports/GE05,NSE
GOLDBEES,INF732E01102,Reliance ETF Gold BeES,20,,,,,,,,NSE
GOLDIAM,INE025B01017,Goldiam International Limited,20,,,GOLDIAM,Services,Diamond Cutting & Jewellery & Precious Metals,Goldiam Inter,http://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/goldiaminternational/GI10,NSE
GOLDINFRA,INE260D01016,Goldstone Infratech Limited,10,,,GOLDINFRA,Telecom,Telecommunications - Service,Goldstone Infra,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/goldstoneinfratech/GI29,NSE
GOLDIWIN,INF109KB1WF4,ICICI Prudential Gold iWIN ETF,20,,,,,,,,NSE
GOLDSHARE,INF789F01059,UTI Mutual Fund - UTI Gold Exchange Traded Fund,20,,,,,,,,NSE
GOLDTECH,INE805A01014,Goldstone Technologies Limited,5,,,GOLDTECH,Technology,Computers - Software Medium & Small,Goldstone Tech,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/goldstonetechnologies/GT04,NSE
GOODLUCK,INE127I01024,Goodluck India Limited,20,,,GOODLUCK,Metals & Mining,Steel - Tubes & Pipes,Good Luck,http://www.moneycontrol.com/india/stockpricequote/steeltubespipes/goodluckindia/GLS,NSE
GPIL,INE177H01013,Godawari Power And Ispat limited,5,,,GPIL,Metals & Mining,Steel - Sponge Iron,Godawari Power,http://www.moneycontrol.com/india/stockpricequote/steelspongeiron/godawaripowerispat/GPI7,NSE
GPPL,INE517F01014,Gujarat Pipavav Port Limited,20,SERVICES,,GPPL,Services,Shipping,Gujarat Pipavav,http://www.moneycontrol.com/india/stockpricequote/shipping/gujaratpipavavport/GPP03,NSE
GPTINFRA,INE390G01014,GPT Infraprojects Limited,20,,,GPTINFRA,Cement/Construction,Construction & Contracting - Civil,GPT Infra,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/gptinfraprojects/GPT01,NSE
GRANULES,INE101D01020,Granules India Limited,No Band,PHARMA,,GRANULES,Pharmaceuticals,Pharmaceuticals,Granules India,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/granulesindia/GI25,NSE
GRAPHITE,INE371A01025,Graphite India Limited,10,,,GRAPHITE,Engineering,Electrodes & Graphite,Graphite India,http://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/graphiteindia/GI13,NSE
GRASIM,INE047A01021,Grasim Industries Limited,No Band,,Derivative Product/ Nifty 50,GRASIM,Conglomerates,Diversified,Grasim,http://www.moneycontrol.com/india/stockpricequote/diversified/grasimindustries/GI01,NSE
GRAVITA,INE024L01027,Gravita India Limited,20,,,GRAVITA,Miscellaneous,Metals - Non Ferrous,Gravita India,http://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/gravitaindia/GI09,NSE
GREAVESCOT,INE224A01026,Greaves Cotton Limited,20,INDUSTRIAL MANUFACTURING,,GREAVESCOT,Engineering,Engines,Greaves Cotton,http://www.moneycontrol.com/india/stockpricequote/engines/greavescotton/GC20,NSE
GREENLAM,INE544R01013,Greenlam Industries Limited,20,,,GREENLAM,Miscellaneous,Miscellaneous,Greenlam Ind,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/greenlamindustries/GI31,NSE
GREENPLY,INE461C01038,Greenply Industries Limited,20,CONSUMER GOODS,,GREENPLY,Miscellaneous,Miscellaneous,Greenply Ind,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/greenplyindustries/GI19,NSE
GREENPOWER,INE999K01014,Orient Green Power Company Limited,20,,,GREENPOWER,Utilities,Power - Generation & Distribution,Orient Green,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/orientgreenpowercompany/OGP,NSE
GRINDWELL,INE536A01023,Grindwell Norton Limited,20,,,GRINDWELL,Engineering,Abrasives,Grindwell Norto,http://www.moneycontrol.com/india/stockpricequote/abrasives/grindwellnorton/GN,NSE
GROBTEA,INE646C01018,The Grob Tea Company Limited,5,,,GROBTEA,Food & Beverage,Plantations - Tea & Coffee,The Grob Tea,http://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/thegrobteacompany/TGT,NSE
GRPLTD,INE137I01015,GRP Limited,20,,,GRPLTD,Miscellaneous,Rubber,GRP,http://www.moneycontrol.com/india/stockpricequote/rubber/grp/GRR,NSE
